te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:06:22,0.0,176.116.195.149,42.219.152.127,5185,5074,UDP,.A....,0,40,1,441,background,2,0,382,0
2016-04-11 00:07:24,9.016,84.181.34.175,42.219.152.127,54941,23,TCP,....S.,0,72,3,180,background,441,0,444,62
2016-04-11 00:08:47,0.092,42.219.152.127,143.72.8.137,53673,53,UDP,.A....,0,0,2,128,background,180,0,527,83
2016-04-11 00:08:48,0.0,42.219.152.127,143.72.8.137,0,771,ICMP,.A....,0,0,1,92,background,128,0,528,1
2016-04-11 00:08:48,0.128,143.72.8.137,42.219.152.127,53,53673,UDP,.A....,0,0,2,203,background,92,0,528,0
2016-04-11 00:09:07,0.0,42.219.152.127,143.72.8.137,57770,53,UDP,.A....,0,0,1,64,background,203,0,547,19
2016-04-11 00:09:08,0.0,143.72.8.137,42.219.152.127,53,57770,UDP,.A....,0,0,1,139,background,64,0,548,1
2016-04-11 00:09:38,0.0,242.103.60.163,42.219.152.127,46819,22,TCP,....S.,0,0,1,40,background,139,0,578,30
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.152.127,48060,3306,TCP,....S.,0,40,1,40,background,40,0,960,382
2016-04-11 00:18:23,0.0,204.223.22.109,42.219.152.127,46681,5003,TCP,....S.,0,0,1,40,background,40,0,1103,143
2016-04-11 00:21:37,0.0,42.9.7.17,42.219.152.127,3254,445,TCP,....S.,0,72,1,48,background,40,0,1297,194
2016-04-11 00:21:47,0.0,248.3.133.202,42.219.152.127,33326,23,TCP,....S.,0,72,1,60,background,48,0,1307,10
2016-04-11 00:21:53,0.0,143.72.8.137,42.219.152.127,53,58607,UDP,.A....,0,0,1,140,background,60,0,1313,6
2016-04-11 00:21:53,0.0,42.219.152.127,143.72.8.137,58607,53,UDP,.A....,0,0,1,65,background,140,0,1313,0
2016-04-11 00:22:55,0.0,176.116.195.149,42.219.152.127,5218,5075,UDP,.A....,0,40,1,438,background,65,0,1375,62
2016-04-11 00:23:34,0.0,42.219.152.127,143.72.8.137,64992,53,UDP,.A....,0,0,1,110,background,438,0,1414,39
2016-04-11 00:23:35,0.0,143.72.8.137,42.219.152.127,53,60669,UDP,.A....,0,0,1,154,background,110,0,1415,1
2016-04-11 00:23:35,0.0,143.72.8.137,42.219.152.127,53,64992,UDP,.A....,0,0,1,185,background,154,0,1415,0
2016-04-11 00:23:35,0.0,42.219.152.127,143.72.8.137,0,771,ICMP,.A....,0,0,1,224,background,185,0,1415,0
2016-04-11 00:23:35,0.0,42.219.152.127,143.72.8.137,60669,53,UDP,.A....,0,0,1,79,background,224,0,1415,0
2016-04-11 00:23:35,0.092,42.219.152.127,143.72.8.137,50359,53,UDP,.A....,0,0,2,242,background,79,0,1415,0
2016-04-11 00:23:35,0.536,143.72.8.137,42.219.152.127,53,50359,UDP,.A....,0,0,2,392,background,242,0,1415,0
2016-04-11 00:25:04,0.08,42.219.152.127,209.150.110.93,443,54396,TCP,.AP.S.,0,0,2,1107,background,392,0,1504,89
2016-04-11 00:25:04,0.14800000000000002,209.150.110.93,42.219.152.127,54396,443,TCP,.APRS.,0,0,5,433,background,1107,0,1504,0
2016-04-11 00:27:15,0.0,33.12.117.59,42.219.152.127,5484,5580,UDP,.A....,0,0,1,443,background,433,0,1635,131
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.152.127,5060,5060,UDP,.A....,0,0,1,445,background,443,0,1690,55
2016-04-11 00:28:44,0.0,217.231.240.54,42.219.152.127,39255,2121,TCP,....S.,0,40,1,40,background,445,0,1724,34
2016-04-11 00:31:14,0.0,69.81.144.249,42.219.152.127,39927,19,UDP,.A....,0,40,1,28,background,40,0,1874,150
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.152.127,9090,22,TCP,....S.,0,40,1,40,background,28,0,2149,275
2016-04-11 00:36:22,0.0,143.72.8.137,42.219.152.127,53,53722,UDP,.A....,0,0,1,154,background,40,0,2182,33
2016-04-11 00:36:22,0.0,143.72.8.137,42.219.152.127,53,57380,UDP,.A....,0,0,1,185,background,154,0,2182,0
2016-04-11 00:36:22,0.0,143.72.8.137,42.219.152.127,53,60004,UDP,.A....,0,0,1,196,background,185,0,2182,0
2016-04-11 00:36:22,0.0,42.219.152.127,143.72.8.137,53722,53,UDP,.A....,0,0,1,79,background,196,0,2182,0
2016-04-11 00:36:22,0.0,42.219.152.127,143.72.8.137,57380,53,UDP,.A....,0,0,1,110,background,79,0,2182,0
2016-04-11 00:36:22,0.0,42.219.152.127,143.72.8.137,60004,53,UDP,.A....,0,0,1,121,background,110,0,2182,0
2016-04-11 00:38:56,0.0,48.137.15.159,42.219.152.127,80,64173,TCP,.A..S.,0,72,1,44,background,121,0,2336,154
2016-04-11 00:39:27,0.0,176.116.195.149,42.219.152.127,5137,5065,UDP,.A....,0,40,1,441,background,44,0,2367,31
2016-04-11 00:41:00,7.0920000000000005,42.219.152.127,84.223.61.74,63300,53,UDP,.A....,0,0,5,320,background,441,0,2460,93
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.152.127,6000,3306,TCP,....S.,0,40,1,40,background,320,0,2584,124
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.152.127,20000,53,UDP,.A....,0,40,1,70,background,40,0,2681,97
2016-04-11 00:45:00,0.0,60.133.101.194,42.219.152.127,5145,5060,UDP,.A....,0,40,1,443,background,70,0,2700,19
2016-04-11 00:46:02,0.0,178.27.6.47,42.219.152.127,12200,29081,TCP,....S.,0,72,1,40,background,443,0,2762,62
2016-04-11 00:47:49,0.0,82.167.246.233,42.219.152.127,41620,1900,UDP,.A....,0,0,1,125,background,40,0,2869,107
2016-04-11 00:52:44,7.0920000000000005,42.219.152.127,84.223.61.74,61522,53,UDP,.A....,0,0,5,320,background,125,0,3164,295
2016-04-11 00:52:47,0.0,216.156.202.228,42.219.152.127,5068,5060,UDP,.A....,0,40,1,445,background,320,0,3167,3
2016-04-11 00:52:48,0.0,143.72.8.137,42.219.152.127,53,54288,UDP,.A....,0,0,1,139,background,445,0,3168,1
2016-04-11 00:52:48,0.0,143.72.8.137,42.219.152.127,53,64223,UDP,.A....,0,0,1,139,background,139,0,3168,0
2016-04-11 00:52:48,0.0,42.219.152.127,143.72.8.137,54288,53,UDP,.A....,0,0,1,64,background,139,0,3168,0
2016-04-11 00:52:48,0.0,42.219.152.127,143.72.8.137,64223,53,UDP,.A....,0,0,1,64,background,64,0,3168,0
2016-04-11 00:55:58,0.0,176.116.195.149,42.219.152.127,5090,6000,UDP,.A....,0,40,1,440,background,64,0,3358,190
2016-04-11 00:58:26,0.0,224.7.72.145,42.219.152.127,54380,8080,TCP,....S.,0,40,1,40,background,440,0,3506,148
2016-04-11 00:59:47,0.0,42.219.152.127,55.5.22.217,0,0,ICMP,.A....,0,0,1,32,background,40,0,3587,81
2016-04-11 00:59:47,0.0,55.5.22.217,42.219.152.127,0,2048,ICMP,.A....,0,0,1,32,background,32,0,3587,0
2016-04-11 01:03:50,0.0,73.213.27.178,42.219.152.127,20001,53,UDP,.A....,0,40,1,70,background,32,1,3830,243
2016-04-11 01:05:17,0.0,42.219.152.127,143.72.8.137,0,771,ICMP,.A....,0,0,1,213,background,70,1,3917,87
2016-04-11 01:05:17,0.0,42.219.152.127,143.72.8.137,64062,53,UDP,.A....,0,0,1,121,background,213,1,3917,0
2016-04-11 01:05:17,0.092,42.219.152.127,143.72.8.137,53609,53,UDP,.A....,0,0,2,220,background,121,1,3917,0
2016-04-11 01:05:17,0.092,42.219.152.127,143.72.8.137,64554,53,UDP,.A....,0,0,2,158,background,220,1,3917,0
2016-04-11 01:05:17,0.136,143.72.8.137,42.219.152.127,53,53609,UDP,.A....,0,0,2,370,background,158,1,3917,0
2016-04-11 01:05:18,0.0,143.72.8.137,42.219.152.127,53,64062,UDP,.A....,0,0,1,196,background,370,1,3918,1
2016-04-11 01:05:18,0.108,143.72.8.137,42.219.152.127,53,64554,UDP,.A....,0,0,2,233,background,196,1,3918,0
2016-04-11 01:06:38,3.008,71.100.4.249,42.219.152.127,38461,23,TCP,....S.,0,40,2,104,background,233,1,3998,80
2016-04-11 01:08:47,0.0,143.72.8.137,42.219.152.127,53,65142,UDP,.A....,0,0,1,139,background,104,1,4127,129
2016-04-11 01:08:47,0.0,42.219.152.127,143.72.8.137,65142,53,UDP,.A....,0,0,1,64,background,139,1,4127,0
2016-04-11 01:09:07,0.0,143.72.8.137,42.219.152.127,53,61461,UDP,.A....,0,0,1,139,background,64,1,4147,20
2016-04-11 01:09:07,0.0,42.219.152.127,143.72.8.137,61461,53,UDP,.A....,0,0,1,64,background,139,1,4147,0
2016-04-11 01:11:33,0.0,213.82.166.3,42.219.152.127,5724,5060,UDP,.A....,0,40,1,438,background,64,1,4293,146
2016-04-11 01:12:30,0.0,176.116.195.149,42.219.152.127,5108,5040,UDP,.A....,0,40,1,441,background,438,1,4350,57
2016-04-11 01:14:24,0.0,236.43.144.65,42.219.152.127,6000,3306,TCP,....S.,0,0,1,40,background,441,1,4464,114
2016-04-11 01:15:18,0.0,240.62.27.30,42.219.152.127,47562,21320,TCP,....S.,0,0,1,40,background,40,1,4518,54
2016-04-11 01:17:43,5.0,129.124.132.99,42.219.152.127,40480,23,TCP,....S.,0,0,6,360,background,40,1,4663,145
2016-04-11 01:18:31,0.0,178.27.6.47,42.219.152.127,12200,29081,TCP,....S.,0,72,1,40,background,360,1,4711,48
2016-04-11 01:18:31,8.996,224.36.5.69,42.219.152.127,39259,23,TCP,....S.,0,40,3,180,background,40,1,4711,0
2016-04-11 01:21:53,0.0,143.72.8.137,42.219.152.127,53,51901,UDP,.A....,0,0,1,140,background,180,1,4913,202
2016-04-11 01:21:53,0.0,42.219.152.127,143.72.8.137,51901,53,UDP,.A....,0,0,1,65,background,140,1,4913,0
2016-04-11 01:22:31,0.0,217.156.57.81,42.219.152.127,6764,5061,UDP,.A....,0,40,1,435,background,65,1,4951,38
2016-04-11 01:22:31,0.0,217.156.57.81,42.219.152.127,6764,5062,UDP,.A....,0,40,1,433,background,435,1,4951,0
2016-04-11 01:22:32,0.0,217.156.57.81,42.219.152.127,6764,5063,UDP,.A....,0,40,1,436,background,433,1,4952,1
2016-04-11 01:22:32,0.0,217.156.57.81,42.219.152.127,6764,5064,UDP,.A....,0,40,1,435,background,436,1,4952,0
2016-04-11 01:22:32,0.0,217.156.57.81,42.219.152.127,6764,5065,UDP,.A....,0,40,1,436,background,435,1,4952,0
2016-04-11 01:22:32,0.0,217.156.57.81,42.219.152.127,6764,5066,UDP,.A....,0,40,1,435,background,436,1,4952,0
2016-04-11 01:22:32,0.0,217.156.57.81,42.219.152.127,6764,5067,UDP,.A....,0,40,1,433,background,435,1,4952,0
2016-04-11 01:22:33,0.0,217.156.57.81,42.219.152.127,6764,5068,UDP,.A....,0,40,1,434,background,433,1,4953,1
2016-04-11 01:22:33,0.0,217.156.57.81,42.219.152.127,6764,5069,UDP,.A....,0,40,1,436,background,434,1,4953,0
2016-04-11 01:22:33,0.0,217.156.57.81,42.219.152.127,6764,5070,UDP,.A....,0,40,1,433,background,436,1,4953,0
2016-04-11 01:22:34,0.0,217.156.57.81,42.219.152.127,6764,5071,UDP,.A....,0,40,1,435,background,433,1,4954,1
2016-04-11 01:22:34,0.0,217.156.57.81,42.219.152.127,6764,5072,UDP,.A....,0,40,1,433,background,435,1,4954,0
2016-04-11 01:22:34,0.0,217.156.57.81,42.219.152.127,6764,5073,UDP,.A....,0,40,1,431,background,433,1,4954,0
2016-04-11 01:22:34,0.0,217.156.57.81,42.219.152.127,6764,5074,UDP,.A....,0,40,1,434,background,431,1,4954,0
2016-04-11 01:22:34,0.0,217.156.57.81,42.219.152.127,6764,5075,UDP,.A....,0,40,1,433,background,434,1,4954,0
2016-04-11 01:22:35,0.0,217.156.57.81,42.219.152.127,6764,5076,UDP,.A....,0,40,1,435,background,433,1,4955,1
2016-04-11 01:22:35,0.0,217.156.57.81,42.219.152.127,6764,5077,UDP,.A....,0,40,1,435,background,435,1,4955,0
2016-04-11 01:22:35,0.0,217.156.57.81,42.219.152.127,6764,5078,UDP,.A....,0,40,1,432,background,435,1,4955,0
2016-04-11 01:22:35,0.0,217.156.57.81,42.219.152.127,6764,5079,UDP,.A....,0,40,1,435,background,432,1,4955,0
2016-04-11 01:22:35,0.0,217.156.57.81,42.219.152.127,6764,5080,UDP,.A....,0,40,1,435,background,435,1,4955,0
2016-04-11 01:22:35,0.0,217.156.57.81,42.219.152.127,6764,5081,UDP,.A....,0,40,1,435,background,435,1,4955,0
2016-04-11 01:22:36,0.0,217.156.57.81,42.219.152.127,6764,5082,UDP,.A....,0,40,1,434,background,435,1,4956,1
2016-04-11 01:22:36,0.0,217.156.57.81,42.219.152.127,6764,5083,UDP,.A....,0,40,1,435,background,434,1,4956,0
