te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:03:17,0.0,32.100.20.28,42.219.152.246,41478,465,TCP,....S.,0,40,1,40,background,2,0,197,0
2016-04-11 00:03:55,0.0,125.83.204.76,42.219.152.246,0,2048,ICMP,.A....,0,0,1,32,background,40,0,235,38
2016-04-11 00:03:55,0.0,42.219.152.246,125.83.204.76,0,0,ICMP,.A....,0,0,1,32,background,32,0,235,0
2016-04-11 00:04:12,0.256,42.219.152.246,194.233.64.10,80,39328,TCP,.AP.SF,0,0,4,493,background,32,0,252,17
2016-04-11 00:04:12,0.268,194.233.64.10,42.219.152.246,39328,80,TCP,.AP.SF,0,0,6,538,background,493,0,252,0
2016-04-11 00:04:12,0.268,194.233.64.2,42.219.152.246,53554,80,TCP,.AP.SF,0,0,5,537,background,538,0,252,0
2016-04-11 00:04:12,0.268,42.219.152.246,194.233.64.2,80,53554,TCP,.AP.SF,0,0,4,493,background,537,0,252,0
2016-04-11 00:04:18,0.0,54.143.54.59,42.219.152.246,19945,80,TCP,....S.,0,42,1,48,background,493,0,258,6
2016-04-11 00:04:18,0.5479999999999999,42.219.152.246,54.143.54.59,80,19945,TCP,.AP.SF,0,0,6,3156,background,48,0,258,0
2016-04-11 00:04:18,0.5479999999999999,54.143.54.59,42.219.152.246,19945,80,TCP,.AP..F,0,40,5,497,background,3156,0,258,0
2016-04-11 00:04:47,0.0,42.219.152.246,78.171.115.5,80,59156,TCP,.A..S.,0,0,1,52,background,497,0,287,29
2016-04-11 00:04:47,0.24,78.171.115.5,42.219.152.246,59156,80,TCP,.A..S.,0,72,2,92,background,52,0,287,0
2016-04-11 00:04:53,0.0,192.253.239.36,42.219.152.246,49870,8000,TCP,....S.,0,72,1,40,background,92,0,293,6
2016-04-11 00:05:05,0.004,42.219.152.246,78.171.115.5,80,59156,TCP,.A...F,0,0,2,80,background,40,0,305,12
2016-04-11 00:05:05,0.212,78.171.115.5,42.219.152.246,59156,80,TCP,.A...F,0,72,2,80,background,80,0,305,0
2016-04-11 00:05:24,0.0,42.219.152.246,64.214.242.35,80,36014,TCP,.A..S.,0,0,1,64,background,80,0,324,19
2016-04-11 00:05:24,0.0,42.219.152.246,64.214.242.35,80,36015,TCP,.A..S.,0,0,1,64,background,64,0,324,0
